Symbol,min_date,max_date,Close_min_date,Close_max_date,Return (%)
AUSF,2023-12-26,2024-03-25,37.20363235473633,40.130001068115234,7.865814513690504
HUBS,2023-12-26,2024-03-25,584.5599975585938,630.530029296875,7.864039949752705
UFCS,2023-12-26,2024-03-25,20.118938446044922,21.700000762939453,7.858577236242523
VLU,2023-12-26,2024-03-25,159.71218872070312,172.25999450683594,7.856511069468719
JKF,2023-12-26,2024-03-22,70.29183197021484,75.80999755859375,7.8503653037769014
EWT,2023-12-26,2024-03-25,45.40999984741211,48.96500015258789,7.828672797008121
ACWI,2023-12-26,2024-03-25,101.66999816894531,109.61000061035156,7.809582555723396
IWP,2023-12-26,2024-03-25,104.8207015991211,113.00499725341797,7.807900089809644
DLN,2023-12-26,2024-03-25,66.17504119873047,71.33999633789062,7.804989684327153
SOI,2023-12-26,2024-03-25,8.107468605041504,8.739999771118164,7.8018330614728555
FXO,2023-12-26,2024-03-25,43.2317008972168,46.599998474121094,7.791267766476298
VTSI,2023-12-26,2024-03-25,9.369999885559082,10.100000381469727,7.790827159301374
NMZ,2023-12-26,2024-03-25,9.750426292419434,10.510000228881836,7.790161308669558
IDHQ,2023-12-26,2024-03-25,28.295024871826172,30.49810028076172,7.786087550427235
AVY,2023-12-26,2024-03-25,201.14332580566406,216.77999877929688,7.773896007238284
PRF,2023-12-26,2024-03-25,35.087894439697266,37.810001373291016,7.757966036611333
MTD,2023-12-26,2024-03-25,1219.22998046875,1313.7900390625,7.755719602416196
CRF,2023-12-26,2024-03-25,6.835683822631836,7.364999771118164,7.743423514321263
CFO,2023-12-26,2024-03-25,60.45283889770508,65.13200378417969,7.740190488642612
TDIV,2023-12-26,2024-03-25,64.20294189453125,69.16999816894531,7.736493263149288
USL,2023-12-26,2024-03-25,36.7400016784668,39.58140182495117,7.733805162425213
ICE,2023-12-26,2024-03-25,126.23542022705078,135.99000549316406,7.727296545271045
XLV,2023-12-26,2024-03-25,134.8331298828125,145.24000549316406,7.7183371916060155
PLAY,2023-12-26,2024-03-25,54.84000015258789,59.06999969482422,7.713347065037736
EUFN,2023-12-26,2024-03-25,21.010000228881836,22.630300521850586,7.712043195227435
CTRE,2023-12-26,2024-03-25,22.421228408813477,24.149999618530273,7.710421472880766
